[13-Nov-2014 17:35:34 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 119013376 bytes) in /www/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[13-Nov-2014 19:42:34 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 120848384 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[13-Nov-2014 19:42:38 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 120848384 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[13-Nov-2014 19:50:30 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 120848384 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[13-Nov-2014 20:18:08 Europe/London] PHP Fatal error:  Call to a member function getItems() on array in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 24
[13-Nov-2014 20:30:26 Europe/London] PHP Fatal error:  Call to undefined method Doctrine\ORM\EntityManager::setParameter() in /websites/lnlsymfony/src/lnl/lnlBundle/Entity/CategoriesRepository.php on line 23
[13-Nov-2014 20:31:47 Europe/London] PHP Fatal error:  Call to undefined method Doctrine\ORM\QueryBuilder::createQuery() in /websites/lnlsymfony/src/lnl/lnlBundle/Entity/CategoriesRepository.php on line 18
[13-Nov-2014 20:33:44 Europe/London] PHP Fatal error:  Call to undefined method Doctrine\ORM\EntityManager::setParameter() in /websites/lnlsymfony/src/lnl/lnlBundle/Entity/CategoriesRepository.php on line 23
[13-Nov-2014 20:36:11 Europe/London] PHP Fatal error:  Call to undefined method Doctrine\ORM\EntityManager::getResult() in /websites/lnlsymfony/src/lnl/lnlBundle/Entity/CategoriesRepository.php on line 24
[13-Nov-2014 21:15:14 Europe/London] PHP Fatal error:  Call to a member function getChildren() on array in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 19
[13-Nov-2014 21:16:33 Europe/London] PHP Fatal error:  Call to a member function getChildren() on array in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 19
[13-Nov-2014 21:17:15 Europe/London] PHP Fatal error:  Call to a member function getChildren() on array in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 19
[13-Nov-2014 21:17:31 Europe/London] PHP Fatal error:  Call to a member function getChildren() on array in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 19
[13-Nov-2014 21:18:16 Europe/London] PHP Fatal error:  Call to a member function getChildren() on array in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 19
[13-Nov-2014 21:19:12 Europe/London] PHP Fatal error:  Call to a member function getId() on array in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 19
